time,bat_tp.soc,tp_tp.soc,pcb_tp.soc,mod_tp.soc,pmu_tp.soc,soc_tp.soc,bat_tp.mod,tp_tp.mod,pcb_tp.mod,mod_tp.mod,pmu_tp.mod,soc_tp.mod,bat_side.top,tp_side.top,pcb_side.top,mod_side.top,pmu_side.top,soc_side.top,bat_side.rt,tp_side.rt,pcb_side.rt,mod_side.rt,pmu_side.rt,soc_side.rt,bat_side.lf,tp_side.lf,pcb_side.lf,mod_side.lf,pmu_side.lf,soc_side.lf,bat_bc.soc,tp_bc.soc,pcb_bc.soc,mod_bc.soc,pmu_bc.soc,soc_bc.soc,bat_bc.pmu,tp_bc.pmu,pcb_bc.pmu,mod_bc.pmu,pmu_bc.pmu,soc_bc.pmu
0,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939
0.1,298.1500244,298.1521301,298.1500244,298.1500244,298.1500244,298.1500244,298.1499939,298.1521301,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1500854,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1500854,298.1500244,298.1500244,298.1500244,298.1499939,298.1499939,298.1500854,298.1499939,298.1499939,298.1499939,298.1500549,298.1500549,298.1500549,298.1500549,298.1500549,298.1500549,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244
0.11,298.1500244,298.1523438,298.1500244,298.1500244,298.1500244,298.1500244,298.1499939,298.1523438,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1500854,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1500854,298.1500244,298.1500244,298.1500244,298.1499939,298.1499939,298.1500854,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244
0.121,298.1500244,298.1525879,298.1500244,298.1500244,298.1500244,298.1500244,298.1499939,298.1525879,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1501465,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1500854,298.1500244,298.1500244,298.1500244,298.1499939,298.1499939,298.1500854,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244
0.1331,298.1500244,298.152832,298.1500244,298.1500244,298.1500244,298.1500244,298.1499939,298.152832,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1501465,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1501465,298.1500244,298.1500244,298.1500244,298.1499939,298.1499939,298.1500854,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244
0.14641,298.1500244,298.1531372,298.1500244,298.1500244,298.1500244,298.1500244,298.1499939,298.1531372,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1501465,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1501465,298.1500244,298.1500244,298.1500244,298.1499939,298.1499939,298.150116,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244
0.161051,298.1500244,298.1534424,298.1500244,298.1500244,298.1500244,298.1500244,298.1499939,298.1534424,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1501465,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1501465,298.1500244,298.1500244,298.1500244,298.1499939,298.1499939,298.1501465,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244
0.1771561,298.1500244,298.1538086,298.1500244,298.1500244,298.1500244,298.1500244,298.1499939,298.1537781,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.150177,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1502075,298.1500244,298.1500244,298.1500244,298.1499939,298.1499939,298.1501465,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244
0.19487171,298.1500244,298.1541748,298.1500244,298.1500244,298.1500244,298.1500244,298.1499939,298.1541748,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1502075,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.150238,298.1500244,298.1500244,298.1500244,298.1499939,298.1499939,298.1502075,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244
0.214358881,298.1500244,298.1546021,298.1500244,298.1500244,298.1500244,298.1500244,298.1499939,298.1545715,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1499939,298.1502686,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1503296,298.1500244,298.1500244,298.1500244,298.1499939,298.1499939,298.1502686,298.1499939,298.1499939,298.1499939,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244,298.1500244
